Infected,With_Enzyme,Without_Enzyme,Change_in_CT
Infected,28.3082,25.8847,-2.4235
Infected,30.8644,25.0763,-5.7881
Infected,35.1066,26.0001,-9.1065
Infected,33.6271,28.2535,-5.3737
Control,29.9514,28.1949,-1.7565
Control,26.9456,25.8961,-1.0495
Control,30.3173,27.8508,-2.4665
Control,29.3473,28.1919,-1.1554
Control,27.4790,26.5502,-0.9288
Control,26.9086,25.2386,-1.6700
Control,28.5639,26.8983,-1.6656
Infected,29.7248,25.2241,-4.5006
Infected,29.1928,26.6824,-2.5104
Infected,28.1494,25.8068,-2.3426
Control,30.6024,28.3144,-2.2881
Infected,28.9060,26.5108,-2.3951
